ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,NameInSource,Source
Spanish,Spanish,stan1288,Spanish,spa,Eurasia,40.4414,-1.11788,Indo-European,Indo-European/ Spanish [spa],Martinez-Celdran2003IllustrationsSpanish
MandarinChinese,Mandarin Chinese,mand1415,Mandarin Chinese,cmn,Eurasia,40.0209,116.228,Sino-Tibetan,Sino-Tibetan/ Mandarin Chinese [cmn],Duanmu2007TheChinese
Yoruba,Yoruba,yoru1245,Yoruba,yor,Africa,7.15345,3.67225,Niger-Congo,Niger-Congo/ Yoruba [yor],Fakinlede2003English-YorubaDictionary
EgyptianSpokenArabic,Egyptian Spoken Arabic,egyp1253,Egyptian Arabic,arz,Africa,31.0,31.0,Afro-Asiatic,Afro-Asiatic/ Egyptian Spoken Arabic [arz],"Stevens2004,Watson2011TheArabic"
Javanese,Javanese,java1254,Javanese,jav,Papunesia,-0.572307,110.885,Austronesian,Austronesian/ Javanese [jav],"Sukanda2016ParlonsLexicons,Robson2002"
Telugu,Telugu,telu1262,Telugu,tel,Eurasia,16.4529,78.7024,Dravidian,Dravidian/ Telugu [tel],"Bosse1994ParlonsTelugu,Collooru2017Telugu-English/English-TeluguPhrasebook,Gwynn1991ADictionary,Krishnamurti2015Telugu"
Turkish,Turkish,nucl1301,Turkish,tur,Eurasia,39.8667,32.8667,Turkic,Turkic/Turkish [tur],"Alderson1978,Zimmer1992Turkish"
Japanese,Japanese,nucl1643,Japanese,jpn,Eurasia,35.0,135.0,Japonic,Japonic/ Japanese [jpn],Labrune2012
Vietnamese,Vietnamese,viet1252,Vietnamese,vie,Eurasia,20.681188,105.774071,Austroasiatic,Austroasiatic/ Vietnamese [vie],Kirby2011Vietnamese
Thai,Thai,thai1261,Thai,tha,Eurasia,14.192,100.671,Tai-Kadai,Tai-Kadai/ Thai [tha],Iwasaki2005
Korean,Korean,kore1280,Korean,kor,Eurasia,37.5,128.0,Koreanic,Koreanic/ Korean [kor],
Dholuo,Dholuo,luok1236,Luo (Kenya and Tanzania),luo,Africa,-0.93296,34.4896,Nilo-Saharan,Nilo-Saharan/ Dholuo [luo],"BlountLUOGrammar.,Malandra1957English-LwooDictionary,Gorman1972ADholuo,Odhiambo2010ParlonsKenya"
Hungarian,Hungarian,hung1274,Hungarian,hun,Eurasia,46.9068585714,19.6555271429,Uralic,Uralic/ Hungarian [hun],"Orszagh1990,Siptar2000"
ChuanqiandianClusterMiao,Chuanqiandian Cluster Miao,chua1256,Chuanqiandian Cluster Miao,cqd,Eurasia,22.5638,101.95,Hmong-Mien,Hmong-Mien/ Chuanqiandian Cluster Miao [cqd],"XiongYuYou2014Miao,XingGui2004:Dialect,ShiLiYun2016366Miao"
SouthBolivianQuechua,South Bolivian Quechua,sout2991,South Bolivian Quechua,quh,South America,-20.9201,-66.3331,Quechuan,Quechuan/ South Bolivian Quechua [quh],"LaimeAjacopa2007DiccionarioSpanish-Quechua,Herrero1974DiccionarioQuechua,Urioste1955GramaticaLanguage"
PeripheralMongolian,Peripheral Mongolian,peri1253,Peripheral Mongolian,mvf,Eurasia,42.4208,110.157,Mongolic,Mongolic/ Peripheral Mongolian [mvf],DaoBu1983
Kabardian,Kabardian,kaba1278,Kabardian,kbd,Eurasia,43.5082,43.3918,Abkhaz-Adyge,N Caucasian/ Kabardian [kbd],"Jaimoukha2009ParlonsDialect,Kardanov1955Russko-kabardinsko-cherkesskijDictionary,Apazhev2013Kabardinsko-russkijDictionary,Jaimoukha2009KabardianPhonetics"
Kiche,Kʼicheʼ,kich1262,K'iche',quc,North America,14.5278,-91.1696,Mayan,Mayan/ Kʼicheʼ [quc],"GarciaHernandez1980DiccionarioDictionary,Christenson1993"
ParaguayanGuarani,Paraguayan Guarani,para1311,Paraguayan Guaraní,gug,South America,-25.60551,-57.08816,Tupian,Tupian/ Paraguayan Guarani [gug],"Guasch2008DiccionarioIdeological,Britton2005GuaraniDictionary,Walker1999GuaraniStudy"
Georgian,Georgian,nucl1302,Georgian,kat,Eurasia,41.850397,43.78613,Kartvelian,Kartvelian/ Georgian [kat],"Gvarjalaze2003English-GeorgianLeksikoni,Awde2010,Shosted2006"
Enga,Enga,enga1252,Enga,enq,Papunesia,-5.45619,143.685,Trans-New Guinea,Trans-New Guinea/ Enga [enq],
EasternHuastecaNahuatl,Eastern Huasteca Nahuatl,east2538,Eastern Huasteca Nahuatl,nhe,North America,21.0639,-97.9077,Uto-Aztecan,Uto-Aztecan/ Eastern Huasteca Nahuatl [nhe],
CentralAymara,Central Aymara,cent2142,Central Aymara,ayr,South America,-17.0,-68.5,Aymaran,Aymaran/ Central Aymara [ayr],"de.LuccaD.1983Aymara-SpanishCastellano-aymara.,Carvajal2001IllustratedIngles"
MeqzuitalOtomi,Meqzuital Otomi,mezq1235,Mezquital Otomi,ote,North America,20.2274,-99.5564,Otomanguean,Otomanguean/ Meqzuital Otomi [ote],"Hernandez-CruzLuisVictoriaTorquemada2010DiccionarioState,Wallis1956DiccionarioDictionary,Blight1976TheOtomi"
Wayuu,Wayuu,wayu1243,Wayuu,guc,South America,11.395566,-72.199791,Arawakan,Maipurean/ Wayuu [guc],"Captain2005DiccionarioSpanish-Wayuu,SouthAmericanPhonologicalInventoryDatabase2014WayuuSAPHON"
Basque,Basque,basq1248,Basque,eus,Eurasia,43.2787,-1.31622,Basque,Basque/ Basque [eus],Aulesta1990
Ngabere,Ngäbere,ngab1239,Ngäbere,gym,North America,8.8251,-82.3911,Chibchan,Chibchan/ Ngäbere [gym],Alphonse1956GuaymiNotes
