ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,NameInSource,Source
HighlandTotonac,Highland Totonac,high1243,Highland Totonac,tos,North America,20.3798,-97.6159,Totonacan,Totonacan/ Highland Totonac [tos],Aschmann1983Castellano-TotonacoDialect
Khoekhoe,Khoekhoe,nama1264,Nama (Namibia),naq,Africa,-25.0747,17.9767,Khoe-Kwadi,Khoe-Kwadi/ Khoekhoe [naq],"Haacke2002,Brugman2009"
Galela,Galela,gale1259,Galela,gbi,Papunesia,2.31461,128.44,West Papuan,West Papuan/ Galela [gbi],Shelden1989GalelaStress
Mapudungun,Mapudungun,mapu1245,Mapudungun,arn,South America,-38.7392,-71.277,Mapudungu,Mapudungu/ Mapudungun [arn],"Golluscio2009MapudungunVocabulary,Sadowsky2013Mapudungun"
WesternHighlandPurepecha,Western Highland Purepecha,west2631,Western Highland Purepecha,pua,North America,19.5392,-102.154,Tarascan,Tarascan/ Western Highland Purepecha [pua],"Perez2000VocabularioVocabulary,Chamoreau2003ParlonsMexico"
WoodsCree,Woods Cree,wood1236,Woods Cree,cwd,North America,57.0,-99.0,Algic,Algic/ Woods Cree [cwd],"Castel2001CastelsElders,Starks1992AspectsSyntax"
Navajo,Navajo,nava1243,Navajo,nav,North America,36.2106,-110.082,Eyak-Athabaskan,Eyak-Athabaskan/ Navajo [nav],"Young1980,Young2014TheEnglish"
HighlandPopoluca,Highland Popoluca,high1276,Highland Popoluca,poi,North America,18.198,-94.9109,Mixe-Zoquean,Mixe-Zoquean/ Highland Popoluca [poi],deJongBoudreault2009ALanguage
Ambulas,Ambulas,ambu1247,Ambulas,abt,Papunesia,-3.7801,143.059,Sepik,Sepik/ Ambulas [abt],Kundama2006
Miskito,Mískito,misk1235,Mískito,miq,North America,15.1576,-84.2942,Misumalpan,Misumalpan/ Mískito [miq],"Berckenhagen1906PocketEnglish-Miskito-Spanish,Heath1953DiccionarioDictionary"
Shuar,Shuar,shua1257,Shuar,jiv,South America,-3.45136,-78.1892,Jivaroan,Jivaroan/ Shuar [jiv],"Borman1991ListasLanguages,InstitutoBilingueInterculturalShuar1988ChichamSpanish-Shuar,Paati2012VisionShuar"
NorthernEmbera,Northern Emberá,nort2972,Northern Emberá,emp,South America,7.12761,-77.574,Chocoan,Chocoan/ Northern Emberá[emp],Sara2001
NorthwesternKung,Northwestern !Kung,vase1234,Northern Ju,vaj,Africa,-18.2675,18.1864,Kxʼa,Kxʼa/ Northwestern !Kung [vaj],Konig2008
Greenlandic,Greenlandic,kala1399,Kalaallisut,kal,North America,69.3761,-52.864,Eskimo-Aleut,Eskimo-Aleut/ Greenlandic [kal],Oqaasileriffik2017GreenlandicDictionary
Burushaski,Burushaski,buru1296,Burushaski,bsk,Eurasia,36.2161,74.8236,Burushaski,Burushaski/ Burushaski [bsk],"Berger1974DasWerchikwar,Tiffou1999ParlonsBurushos"
Sentani,Sentani,nucl1632,Sentani,set,Papunesia,-2.6013,140.512,East Birdʼs Head-Sentani,East Birdʼs Head-Sentani/ Sentani [set],Cowan1965GrammarLanguage
Terei,Terei,tere1278,Terei,buo,Papunesia,-6.70051,155.745,South Bougainville,South Bougainville/ Terei [buo],Laycock2003ABougainville
Macushi,Macushi,macu1259,Macushi,mbc,South America,4.31861,-60.2209,Cariban,Cariban/ Macushi [mbc],"Amodio1996LinguaLanguage,Miriam2010Macushi"
ApMa,Ap Ma,apma1241,Ap Ma,kbx,Papunesia,-4.35147,144.085,Ramu-Lower Sepik,Ramu-Lower Sepik/ Ap Ma [kbx],
Paez,Páez,paez1247,Páez,pbb,South America,2.61516,-76.3125,Paezan,Paezan/ Páez [pbb],"Slocum1983DiccionarioDictionary,Arias2012,Rojas1998LaGrammar,Rojas1998LaGrammar"
WichiLhamtesVejoz,Wichí Lhamtés Vejoz,wich1263,Wichí Lhamtés Vejoz,wlv,South America,-24.2189,-61.9117,Matacoan,Matacoan/ Wichí Lhamtés Vejoz [wlv],"Nercesian2014WichiInteraction,Vidal2009WichiVocabulary"
Sandawe,Sandawe,sand1273,Sandawe,sad,Africa,-5.26918,35.4808,Sandawe,Sandawe/ Sandawe [sad],"Ehret2012ATanzania,Kagaya1993ALanguage"
Xibe,Xibe,xibe1242,Xibe,sjo,Eurasia,43.5854,81.0034,Tungusic,Tungusic/ Xibe [sjo],Hanxi1989
Toba,Toba,toba1269,Toba,tob,South America,-24.40253,-60.4472866667,Guaykuruan,Guaykuruan/ Toba [tob],"Messineo2003LenguaAspects,MessineoVocabularioParaguay,Buckwalter2013VocabularioVocabulary"
Ticuna,Ticuna,ticu1245,Ticuna,tca,South America,-3.66289,-69.8723,Ticuna,Ticuna/ Ticuna [tca],MontesRodriguez2004MorfosintaxisLanguage
Kaingang,Kaingang,kain1272,Kaingang,kgp,South America,-27.7671,-52.5394,Jean,Jean/ Kaingang [kgp],Wiesemann2011DicionarioDictionary
Pitjantjatjara,Pitjantjatjara,pitj1243,Pitjantjatjara,pjt,Australia,-26.9704,131.357,Australian,Australian/ Pitjantjatjara [pjt],"Goddard1993APitjantjatjara/Yankunytjatjara,Goddard1996"
Guahibo,Guahibo,guah1255,Sikuani,guh,South America,5.81736,-68.9839,Guajiboan,Guajiboan/ Guahibo [guh],Kondo2014DiccionarioEspanol-Guahibo
ShipiboConibo,Shipibo-Conibo,ship1254,Shipibo-Conibo,shp,South America,-7.17105,-74.8219,Pano-Tacanan,Panoan/ Shipibo-Conibo [shp],"Loriot1993DiccionarioDictionary,Valenzuela1997,Valenzuela2001Shipibo"
Yanomamo,Yanomamö,yano1261,Yanomamö,guu,South America,1.67967,-64.8781,Yanomaman,Yanomaman/ Yanomamö [guu],Lizot2004DiccionarioLanguage
Tucano,Tucano,tuca1252,Tucano,tuo,South America,0.579755,-69.5763,Tucanoan,Tucanoan/ Tucano [tuo],Ramirez1997AYepa-masa
Warao,Warao,wara1303,Warao,wba,South America,7.50851,-59.3528,Warao,Warao/ Warao [wba],"de.Barral1979DiccionarioDictionary,PonceDiccionarioDictionary,Romero-Figueroa1997AWarao,PonceDiccionarioDictionary"
AwaCuaiquer,Awa-Cuaiquer,awac1239,Awa-Cuaiquer,kwi,South America,1.21652,-78.3401,Barbacoan,Barbacoan/ Awa-Cuaiquer [kwi],"Curnow1997,Henriksen1969MuestraCwaiquer,Henriksen1969Swadesh-RoweKwaiker"
MaiBrat,Mai Brat,maib1239,Maybrat-Karon,ayz,Papunesia,-1.3679,132.591,Maybrat,Maybrat/ Mai Brat [ayz],Kambuaya1989AamVocabulary
Piaroa,Piaroa,piar1243,Piaroa,pid,South America,4.41805,-67.7574,Sálivan,Sálivan/ Piaroa [pid],KrisologoB.1976ManualLanguage
Amanab,Amanab,aman1265,Amanab,amn,Papunesia,-3.51516,141.178,Border,Border/ Amanab [amn],
Choctaw,Choctaw,choc1276,Choctaw,cho,North America,33.8993,-94.819,Muskogean,Muskogean/ Choctaw [cho],"Broadwell2006,Byington1915ALanguage"
Cherokee,Cherokee,cher1273,Cherokee,chr,North America,35.4664,-83.163,Iroquoian,Iroquoian/ Cherokee [chr],"Montgomery-Anderson2008ACherokee,Nation2017DikaneisdiList"
