Grapheme	IPA	SCA	FREQUENCY	EXAMPLES
^	NULL		6171	ɟʝ.o;u.ə;m.o;ʔ.a.n.a;a.k.u
$	NULL		6171	ɟʝ.o;u.ə;m.o;ʔ.a.n.a;a.k.u
.	NULL		18866	ɟʝ.o;u.ə;m.o;ʔ.a.n.a;ʔ.a.n.a
!	ǃ	!	16	!.o.b.e;!.a.ŋ;!.i;!.ã.ĩ;!.a.ɾ.i
|	ǀ	!	1	|.o.a
ǀ	ǀ	!	14	ǀ.o.a;ǀ.w.e.e;ǀ.n.ĩ;ǀ.ĩ.ĩ.n.a;ǀ.ã.t.i.m.a
ǁ	ǁ	!	10	ǁ.ĩ.ĩ;ǁ.a.u;ǁ.a.n;ǁ.o.a;ǁ.w.a
ǂ	ǂ	!	4	ǂ.o.w.e.ɾ.u;ǂ.a.e;ǂ.a.e;ǂ.u.i
‖	ǁ	!	2	‖.a.ŋ̩;‖.oˀ.l.i
‼	ǃǃ	!	4	‼.u.‼.u;‼.u.‼.u;‼.h.ã;‼.ũ
!ʔ	ǃʔ	!	3	!ʔ.u;!ʔ.a;!ʔ.a.e
!ʰ	ǃʰ	!	1	!ʰ.u
!ʼ	ǃ’	!	4	!ʼ.u.pʰ.a;!ʼ.a.a.k.a;!ʼ.i.ʔ.e;!ʼ.a.w.e
!χ	ǃχ	!	1	!χ.o.e
ǀʔ	ǀʔ	!	2	ǀʔ.e.e;h.ĩ.ǀʔ.ã
ǀʼ	ǀ’	!	7	ǀʼ.i.n.a;m.a.ǀʼ.a;ǀʼ.a.ǀʼ.ã;ǀʼ.a.ǀʼ.ã;ǀʼ.i.n.a
ǀχ	ǀχ	!	1	ǀχ.a.ɾ.i
ǁʰ	ǁʰ	!	1	ǁʰ.a.t.a
ǁʼ	ǁ’	!	1	ǁʼ.ĩ
ǁˀ	ǁˀ	!	1	ǁˀ.õ.ã
ǂʰ	ǂʰ	!	1	ǂʰ.e.ŋ
ǂχ	ǂχ	!	2	ǂχ.o.o;ǂχ.o.n
ɡ!	gǃ	!	4	ɡ!.a.ʔ.a;ɡ!.o.l.o;ɡ!.oˤ.a;ɡ!.a.e
ɡ|	gǀ	!	3	ɡ|.a.ʔ.a;ɡ|.u;ɡ|.e
ɡǁ	gǁ	!	1	ɡǁ.o.h.a
ɡ‖	gǁ	!	3	ɡ‖.a;ɡ‖.a;ɡ‖.u
‖x	ǁx	!	1	‖x.o.e
‖ʔ	ǁˀ	!	1	‖ʔ.ŋ̩
‖ʰ	ǁʰ	!	1	‖ʰ.a.e
!xˀ	ǃxˀ	!	1	!xˀ.u.i
|ʔʰ	ǀˀʰ/ǀʰ	!	1	|ʔʰ.u.i
ɡ!x	gǃx	!	1	ɡ!x.o.a
‖xˀ	ǁxˀ	!	1	‖xˀ.a.o
‖ʔʰ	ǁʰˀ	!	1	‖ʔʰ.o.ã
‼ʔʰ	ǃǃʰˀ	!	1	‼ʔʰ.a.u
ɡ‖xˀ	ɡ‖xˀ/gǁˀ	!	1	ɡ‖xˀ.a
̃ĩ	̃ĩ	?	0	
a	a	A	3441	ʔ.a.n.a;ʔ.a.n.a;a.k.u;w.a.t.a.s.i;w.a.t.a.s.i
